dataname	type	hierarchy_level	satellite_order	satellite_of	smallplanet_color	orbit_color	diameter_km	shape	mass_kg	gravity_at_surface	semi_major_axis	orbital_period_days	inclination_degrees	eccentricity	rotaton_period_days	discovered_year	athmospheric_surface_pressure_pa	athmospheric_nitrogen	athmospheric_oxygen	athmospheric_carbondioxide	athmospheric_helium	athmospheric_hydrogen	ground_coal	ground_ice	ground_iron	ground_fossil fuel	ground_silicium	ground_nuclear fuel	picture_ready	notes	copyright
jupiter	gasplanet	1	5	sun	244 164 96	100 100 100	142982	sphere	1898410080000000000000000000	2.5294153777	777909015	4328.9	6.090	0.048	0.410	NA	1013000	0	0	0	103326	909674	0	0.003769843	0.971593372	0	0.226088819	0.311091987	ok	Would benefit a lot from shading	NA
metis	moon	2	1	jupiter	50 50 50	50 50 50	40	iregular	36000000000000000	0.0006128799	127690	0.291666667	0.060	0.000	0.292	1980	0	0	0	0	0	0	0	0.004362495	0.962391818	0	0.141546961	0.094572621	NA	NA	NA
adrastea	moon	2	2	jupiter	50 50 50	50 50 50	16	iregular	2000000000000000	0.0002128055	128690	0.291666667	0.030	0.002	0.292	1979	0	0	0	0	0	0	0	0.0045343	0.087304094	0	0.460949451	0.800311293	NA	NA	NA
amalthea	moon	2	3	jupiter	139 76 57	50 50 50	145	iregular	2080000000000000000	0.0026947608	181366	0.5	0.374	0.003	0.500	1892	0	0	0	0	0	0	0	0.003936184	0.045576036	0	0.356561512	0.891539219	NA	Looks very nice	NA
thebe	moon	2	4	jupiter	50 50 50	50 50 50	100	iregular	430000000000000000	0.0011712816	221889	0.679166667	1.076	0.018	0.679	1980	0	0	0	0	0	0	0	0.004905384	0.374500657	0	0.67670306	0.465642822	NA	NA	NA
io	moon	2	5	jupiter	255 218 185	50 50 50	3660	iregular	89000000000000000000000	0.1809758890	421700	1.769137786	0.050	0.004	1.769	1610	0.0001	0	0	0	0	0.0001	0	0.010355419	0.019804342	0	0.500323694	0.381734187	NA	Looks very nice	NA
europa	moon	2	6	jupiter	224 238 224	50 50 50	3122	sphere	48000000000000000000000	0.1341774754	671034	3.551181041	0.471	0.009	3.551	1610	0	0	0	0	0	0	0	0.008463953	0.247504517	0	0.236148943	0.09890261	NA	Looks very nice	NA
ganymede	moon	2	7	jupiter	50 50 50	50 50 50	5262	sphere	150000000000000000000000	0.1475422593	1070412	7.15455296	0.204	0.001	7.155	1610	0	0	0	0	0	0	0	0.017276846	0.378815685	0	0.331152459	0.821907425	NA	NA	NA
callisto	moon	2	8	jupiter	50 50 50	50 50 50	4821	sphere	110000000000000000000000	0.1289387261	1882709	16.6890184	0.205	0.007	16.689	1610	0	0	0	0	0	0	0	0.021210664	0.073348719	0	0.573648259	0.595741565	NA	Looks very nice	NA
themisto	moon	2	9	jupiter	50 50 50	50 50 50	8	sphere	690000000000000	0.0002936716	7393216	129.87	45.762	0.212	129.870	1975	0	0	0	0	0	0	0	0.03288087	0.944916777	0	0.801143547	0.606587432	NA	NA	NA
leda	moon	2	10	jupiter	50 50 50	50 50 50	10	sphere	11000000000000000	0.0029963019	11187781	241.75	27.562	0.167	241.750	1974	0	0	0	0	0	0	0	0.031737062	0.594839506	0	0.530427458	0.125420907	NA	NA	NA
himalia	moon	2	11	jupiter	50 50 50	50 50 50	170	sphere	6700000000000000000	0.0063149489	11451971	250.37	30.486	0.151	250.370	1904	0	0	0	0	0	0	0	0.043128041	0.471763261	0	0.392517696	0.853891907	NA	NA	NA
lysithea	moon	2	12	jupiter	50 50 50	50 50 50	36	sphere	63000000000000000	0.0013241233	11740560	259.89	27.006	0.132	259.890	1938	0	0	0	0	0	0	0	0.040722451	0.709406761	0	0.415271265	0.873976416	NA	NA	NA
elara	moon	2	13	jupiter	50 50 50	50 50 50	86	sphere	870000000000000000	0.0032041677	11778034	261.14	29.691	0.195	261.140	1905	0	0	0	0	0	0	0	0.023446789	0.624484396	0	0.280050189	0.054901032	NA	NA	NA
s2000j11	moon	2	14	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	12570424	287.93	27.584	0.206	287.930	2001	0	0	0	0	0	0	0	0.048052718	0.120789811	0	0.380682959	0.876169737	NA	NA	NA
carpo	moon	2	15	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	17144873	458.62	56.001	0.274	458.620	2003	0	0	0	0	0	0	0	0.030136444	0.890637823	0	0.523118494	0.990414833	NA	NA	NA
s2003j12	moon	2	16	jupiter	50 50 50	50 50 50	1	sphere	1500000000000	0.0000408587	17739539	-482.69	142.680	0.445	-482.690	2003	0	0	0	0	0	0	0	0.052993528	0.22613169	0	0.508502259	0.308710182	NA	NA	NA
euporie	moon	2	17	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	19088434	-538.78	144.694	0.096	-538.780	2002	0	0	0	0	0	0	0	0.030924117	0.732334063	0	0.998958683	0.266582399	NA	NA	NA
s2003j3	moon	2	18	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	19621780	-561.52	146.363	0.251	-561.520	2003	0	0	0	0	0	0	0	0.030144481	0.06626079	0	0.872519803	0.51617432	NA	NA	NA
s2003j18	moon	2	19	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	19812577	-569.73	147.401	0.157	-569.730	2003	0	0	0	0	0	0	0	0.031055719	0.289663621	0	0.09278192	0.80961547	NA	NA	NA
thelxinoe	moon	2	20	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	20453753	-597.61	151.292	0.268	-597.610	2004	0	0	0	0	0	0	0	0.035754904	0.135398289	0	0.546658628	0.546292418	NA	NA	NA
euanthe	moon	2	21	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	20464854	-598.09	143.409	0.200	-598.090	2002	0	0	0	0	0	0	0	0.040098713	0.499938114	0	0.282154602	0.875849795	NA	NA	NA
helike	moon	2	22	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	20540266	-601.4	154.586	0.137	-601.400	2003	0	0	0	0	0	0	0	0.037189458	0.559006194	0	0.950979346	0.520632872	NA	NA	NA
orthosie	moon	2	23	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	20567971	-602.62	142.366	0.243	-602.620	2002	0	0	0	0	0	0	0	0.030661941	0.468608281	0	0.141667856	0.130663704	NA	NA	NA
iocaste	moon	2	24	jupiter	50 50 50	50 50 50	5	sphere	190000000000000	0.0002070172	20722566	-609.43	147.248	0.287	-609.430	2001	0	0	0	0	0	0	0	0.031792681	0.436481062	0	0.603882129	0.491715984	NA	NA	NA
s2003j16	moon	2	25	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	20743779	-610.36	150.769	0.318	-610.360	2003	0	0	0	0	0	0	0	0.056306956	0.376781	0	0.308365997	0.871897707	NA	NA	NA
praxidike	moon	2	26	jupiter	50 50 50	50 50 50	7	sphere	430000000000000	0.0002390371	20823948	-613.9	144.205	0.184	-613.900	2001	0	0	0	0	0	0	0	0.034735375	0.371278605	0	0.639712183	0.249012333	NA	NA	NA
harpalyke	moon	2	27	jupiter	50 50 50	50 50 50	4	sphere	120000000000000	0.0002042933	21063814	-624.54	147.223	0.244	-624.540	2001	0	0	0	0	0	0	0	0.036593729	0.163115164	0	0.46400058	0.34432147	NA	NA	NA
mneme	moon	2	28	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	21129786	-627.48	149.732	0.317	-627.480	2003	0	0	0	0	0	0	0	0.047877277	0.904728365	0	0.135158775	0.563442577	NA	NA	NA
hermippe	moon	2	29	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	21182086	-629.81	151.242	0.229	-629.810	2002	0	0	0	0	0	0	0	0.035459701	0.738665675	0	0.087245953	0.611230827	NA	NA	NA
thyone	moon	2	30	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	21405570	-639.8	147.276	0.253	-639.800	2002	0	0	0	0	0	0	0	0.035628498	0.020655704	0	0.681554052	0.424232047	NA	NA	NA
ananke	moon	2	31	jupiter	50 50 50	50 50 50	28	sphere	30000000000000000	0.0010423128	21454952	-642.02	151.564	0.345	-642.020	1951	0	0	0	0	0	0	0	0.041599438	0.0943788	0	0.087607262	0.261164872	NA	NA	NA
s2003j17	moon	2	32	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22134306	-672.75	162.490	0.238	-672.750	2003	0	0	0	0	0	0	0	0.049101844	0.193581406	0	0.569703857	0.239821934	NA	NA	NA
aitne	moon	2	33	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	22285161	-679.64	165.562	0.393	-679.640	2002	0	0	0	0	0	0	0	0.036749312	0.620846462	0	0.988720007	0.059878629	NA	NA	NA
kale	moon	2	34	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22409207	-685.32	165.378	0.201	-685.320	2002	0	0	0	0	0	0	0	0.049187122	0.102254082	0	0.152672655	0.957307007	NA	NA	NA
taygete	moon	2	35	jupiter	50 50 50	50 50 50	5	sphere	160000000000000	0.0001743303	22438648	-686.67	164.890	0.368	-686.670	2001	0	0	0	0	0	0	0	0.039846712	0.833631884	0	0.607465356	0.122809952	NA	NA	NA
s2003j19	moon	2	36	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22709061	-699.12	164.727	0.196	-699.120	2003	0	0	0	0	0	0	0	0.052256797	0.944805792	0	0.261969255	0.175469883	NA	NA	NA
chaldene	moon	2	37	jupiter	50 50 50	50 50 50	4	sphere	75000000000000	0.0001276833	22713444	-699.33	167.070	0.292	-699.330	2001	0	0	0	0	0	0	0	0.047768028	0.815612444	0	0.44383058	0.814751593	NA	NA	NA
s2003j15	moon	2	38	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22720999	-699.68	141.812	0.093	-699.680	2003	0	0	0	0	0	0	0	0.031149115	0.096607093	0	0.663227833	0.933533818	NA	NA	NA
s2003j10	moon	2	39	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22730813	-700.13	163.813	0.344	-700.130	2003	0	0	0	0	0	0	0	0.031370352	0.075050465	0	0.577397059	0.793493251	NA	NA	NA
s2003j23	moon	2	40	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22739654	-700.54	148.849	0.393	-700.540	2004	0	0	0	0	0	0	0	0.047680952	0.829821458	0	0.898968364	0.734529818	NA	NA	NA
erinome	moon	2	41	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	22986266	-711.96	163.737	0.255	-711.960	2001	0	0	0	0	0	0	0	0.043429275	0.314682722	0	0.218930578	0.989768797	NA	NA	NA
aoede	moon	2	42	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	23044175	-714.66	160.482	0.601	-714.660	2003	0	0	0	0	0	0	0	0.061875759	0.300373741	0	0.293738282	0.749782028	NA	NA	NA
kallichore	moon	2	43	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23111823	-717.81	164.605	0.204	-717.810	2003	0	0	0	0	0	0	0	0.039419039	0.597326207	0	0.212172211	0.870105628	NA	NA	NA
kalyke	moon	2	44	jupiter	50 50 50	50 50 50	5	sphere	190000000000000	0.0002070172	23180773	-721.02	165.505	0.214	-721.020	2001	0	0	0	0	0	0	0	0.057293543	0.657961364	0	0.688564732	0.104335395	NA	NA	NA
carme	moon	2	45	jupiter	50 50 50	50 50 50	46	sphere	130000000000000000	0.0016734802	23197992	-721.82	165.047	0.234	-721.820	1938	0	0	0	0	0	0	0	0.054480688	0.947849178	0	0.8278331	0.730508631	NA	NA	NA
callirrhoe	moon	2	46	jupiter	50 50 50	50 50 50	9	sphere	870000000000000	0.0002925682	23214986	-722.62	139.849	0.258	-722.620	2000	0	0	0	0	0	0	0	0.044229313	0.412847184	0	0.951172005	0.234506607	NA	NA	NA
eurydome	moon	2	47	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	23230858	-723.36	149.324	0.377	-723.360	2002	0	0	0	0	0	0	0	0.061018722	0.905343769	0	0.56724977	0.487445033	NA	NA	NA
pasithee	moon	2	48	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23307318	-726.93	165.759	0.329	-726.930	2002	0	0	0	0	0	0	0	0.052534449	0.723067277	0	0.087474038	0.525367571	NA	NA	NA
cyllene	moon	2	49	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23396269	-731.1	140.148	0.412	-731.100	2003	0	0	0	0	0	0	0	0.058730264	0.516787286	0	0.946869452	0.884583558	NA	NA	NA
eukelade	moon	2	50	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	23483694	-735.2	163.996	0.283	-735.200	2003	0	0	0	0	0	0	0	0.03548224	0.548451348	0	0.028523264	0.419038626	NA	NA	NA
s2003j4	moon	2	51	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23570790	-739.29	147.175	0.300	-739.290	2003	0	0	0	0	0	0	0	0.058171867	0.501918015	0	0.848676869	0.930386456	NA	NA	NA
pasiphae	moon	2	52	jupiter	50 50 50	50 50 50	60	sphere	300000000000000000	0.0022699257	23609042	-741.09	141.803	0.374	-741.090	1908	0	0	0	0	0	0	0	0.044493244	0.671108644	0	0.223879976	0.976778445	NA	NA	NA
hegemone	moon	2	53	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	23702511	-745.5	152.506	0.408	-745.500	2003	0	0	0	0	0	0	0	0.059300746	0.565905912	0	0.645694595	0.653937645	NA	NA	NA
arche	moon	2	54	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	23717051	-746.19	164.587	0.149	-746.190	2002	0	0	0	0	0	0	0	0.035928888	0.651358119	0	0.820184106	0.850286062	NA	NA	NA
isonoe	moon	2	55	jupiter	50 50 50	50 50 50	4	sphere	75000000000000	0.0001276833	23800647	-750.13	165.127	0.178	-750.130	2001	0	0	0	0	0	0	0	0.036249927	0.179469733	0	0.277760528	0.976567773	NA	NA	NA
s2003j9	moon	2	56	jupiter	50 50 50	50 50 50	1	sphere	1500000000000	0.0000408587	23857808	-752.84	164.980	0.276	-752.840	2003	0	0	0	0	0	0	0	0.044609034	0.794246148	0	0.431126019	0.875938751	NA	NA	NA
s2003j5	moon	2	57	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	23973926	-758.34	165.549	0.307	-758.340	2003	0	0	0	0	0	0	0	0.044842409	0.924972572	0	0.591646171	0.638515769	NA	NA	NA
sinope	moon	2	58	jupiter	50 50 50	50 50 50	38	sphere	75000000000000000	0.0014147736	24057865	-762.33	153.778	0.275	-762.330	1914	0	0	0	0	0	0	0	0.033547849	0.697095967	0	0.514825981	0.513510906	NA	NA	NA
sponde	moon	2	59	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	24252627	-771.6	154.372	0.443	-771.600	2002	0	0	0	0	0	0	0	0.059589864	0.965741901	0	0.155143015	0.364287423	NA	NA	NA
autonoe	moon	2	60	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	24264445	-772.17	151.058	0.369	-772.170	2002	0	0	0	0	0	0	0	0.048479541	0.893207914	0	0.77347231	0.443595238	NA	NA	NA
kore	moon	2	61	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23345093	-776.02	137.371	0.195	-776.020	2003	0	0	0	0	0	0	0	0.045263768	0.904454446	0	0.162746732	0.30543899	NA	NA	NA
megaclite	moon	2	62	jupiter	50 50 50	50 50 50	5	sphere	210000000000000	0.0002288085	24687239	-792.44	150.398	0.308	-792.440	2001	0	0	0	0	0	0	0	0.041608376	0.569051424	0	0.379361319	0.584112343	NA	NA	NA
s2003j2	moon	2	63	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	30290846	-1077.02	153.521	0.188	-1077.020	2003	0	0	0	0	0	0	0	0.391405306	0.927660853	0	0.52609175	0.470732846	NA	NA	NA
saturn	gasplanet	1	6	sun	255 228 196	100 100 100	120531	sphere	568686720000000000000000000	1.0662652372	1427163847	10752.9	5.510	0.054	0.430	NA	1013000	0	0	0	30390	972480	0	0.003165268	0.713397598	0	0.981120054	0.802823003	ok	Would benefit a lot from shading	NA
pan	moon	2	1	saturn	50 50 50	50 50 50	30	iregular	1457614678899080000	0.0441156931	133584	0.57505	0.001	0.038	0.575	1990	0	0	0	0	0	0	0	0.003698339	0.569096224	0	0.024193255	0.887501186	NA	NA	NA
daphnis	moon	2	2	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	136505	0.59408	0.000	0.087	0.594	2005	0	0	0	0	0	0	0	0.004822303	0.7834337	0	0.464024174	0.44342613	NA	NA	NA
atlas	moon	2	3	saturn	50 50 50	50 50 50	31	iregular	1506201834862390000	0.0426926062	137670	0.60169	0.003	0.097	0.602	1980	0	0	0	0	0	0	0	0.004340137	0.193599972	0	0.389712003	0.121288344	NA	NA	NA
prometheus	moon	2	4	saturn	50 50 50	50 50 50	86	iregular	4178495412844040000	0.0153891953	139380	0.61299	0.008	0.025	0.613	1980	0	0	0	0	0	0	0	0.002913422	0.36582749	0	0.455242504	0.562251603	NA	NA	NA
pandora	moon	2	5	saturn	50 50 50	50 50 50	81	iregular	3935559633027520000	0.0163391456	141720	0.6285	0.050	0.039	0.629	1980	0	0	0	0	0	0	0	0.003618818	0.525801732	0	0.24842925	0.64123424	NA	NA	NA
epimetheus	moon	2	6	saturn	50 50 50	50 50 50	113	iregular	5490348623853210000	0.0117121309	151422	0.69433	0.335	0.002	0.694	1980	0	0	0	0	0	0	0	0.003668952	0.728279083	0	0.329707336	0.822032573	NA	NA	NA
janus	moon	2	7	saturn	50 50 50	50 50 50	179	iregular	8697100917431190000	0.0073936916	151472	0.69466	0.165	0.080	0.695	1966	0	0	0	0	0	0	0	0.002887694	0.514625969	0	0.416524565	0.648036168	NA	NA	NA
mimas	moon	2	8	saturn	50 50 50	50 50 50	397	iregular	19289100917431200000	0.0033336796	185404	0.942422	1.566	0.010	0.942	1789	0	0	0	0	0	0	0	0.004220885	0.586458398	0	0.546904958	0.936713575	NA	Looks ok, a little funny in the craters	NA
methone	moon	2	9	saturn	50 50 50	50 50 50	3	sphere	145761467889908000	0.4411569308	194440	1.00957	0.007	0.011	1.010	2004	0	0	0	0	0	0	0	0.005465691	0.942575299	0	0.66558984	0.526513744	NA	NA	NA
anthe	moon	2	10	saturn	50 50 50	50 50 50	2	sphere	97174311926605500	0.6617353962	197700	1.0365	0.100	0.090	1.037	2007	0	0	0	0	0	0	0	0.004814747	0.402918148	0	0.926829005	0.556213426	NA	NA	NA
pallene	moon	2	11	saturn	50 50 50	50 50 50	4	sphere	194348623853211000	0.3308676981	212280	1.15375	0.181	0.031	1.154	2004	0	0	0	0	0	0	0	0.005953118	0.400530875	0	0.590994549	0.79950418	NA	NA	NA
enceladus	moon	2	12	saturn	50 50 50	50 50 50	504	iregular	24487926605504600000	0.0026259341	237950	1.370218	0.010	0.015	1.370	1789	0	0	0	0	0	0	0	0.006151905	0.778710615	0	0.62645896	0.938237121	NA	NA	NA
tethys	moon	2	13	saturn	196 196 196	50 50 50	1066	iregular	51793908256880700000	0.0012415298	294619	1.887802	0.168	0.036	1.888	1684	0	0	0	0	0	0	0	0.00600406	0.810117442	0	0.597200321	0.609980433	NA	Looks ok, would benefit a lot from shading	NA
telesto	moon	2	14	saturn	50 50 50	50 50 50	24	iregular	1166091743119270000	0.0551446163	294619	1.987802	1.158	0.058271387	1.987802	1980	0	0	0	0	0	0	0	0.004264906	0.864049531	0	0.049134827	0.476388229	NA	NA	NA
calypso	moon	2	15	saturn	50 50 50	50 50 50	21	iregular	1020330275229360000	0.0630224187	294619	1.987802	1.473	0.054416948	1.987802	1980	0	0	0	0	0	0	0	0.007176231	0.33126014	0	0.372138923	0.577093121	NA	NA	NA
dione	moon	2	16	saturn	143 143 143	50 50 50	1124	iregular	54611963302752300000	0.0011774651	377396	2.736915	0.002	0.08915067	2.736915	1684	0	0	0	0	0	0	0	0.006668271	0.635844136	0	0.340751702	0.263441354	NA	Look ok. Consider deleting orbit sisters, it is difficult to find this	NA
helene	moon	2	17	saturn	50 50 50	50 50 50	33	iregular	1603376146788990000	0.0401051755	377396	2.746915	0.212	0.023251031	2.736915	1980	0	0	0	0	0	0	0	0.005732071	0.483122312	0	0.428833943	0.120847065	NA	NA	NA
polydeuces	moon	2	18	saturn	50 50 50	50 50 50	35	iregular	1700550458715600000	0.0378134512	377396	2.756915	0.177	0.022249396	2.736915	2004	0	0	0	0	0	0	0	0.006770598	0.194956548	0	0.444239171	0.611059777	NA	NA	NA
rhea	moon	2	19	saturn	219 219 219	50 50 50	1529	iregular	74289761467889900000	0.0008655793	527108	4.518212	0.327	0.058307779	4.518212	1672	0	0	0	0	0	0	0	0.011393219	0.329110787	0	0.677930448	0.275628894	NA	Looks very nice	NA
titan	moon	2	20	saturn	209 209 209	50 50 50	5151	sphere	250272440366973000000	0.0002569347	1221930	15.94542	1.634	0.018036852	15.94542	1655	0	0	0	0	0	0	0	0.013658524	0.948498471	0	0.088502981	0.358063558	NA	Looks very nice	NA
hyperion	moon	2	21	saturn	50 50 50	50 50 50	292	iregular	14187449541284400000	0.0045324342	1481010	21.27661	0.568	0.093003604	21.27661	1848	0	0	0	0	0	0	0	0.017550601	0.624299186	0	0.043557663	0.137268742	NA	NA	NA
iapetus	moon	2	22	saturn	135 135 135	50 50 50	1472	iregular	71520293577981700000	0.0008990970	3560820	79.3215	7.570	0.06039197	79.3215	1671	0	0	0	0	0	0	0	0.041588915	0.673633423	0	0.066418229	0.735412863	NA	Looks very nice	NA
kiviuq	moon	2	23	saturn	50 50 50	50 50 50	16	sphere	777394495412844000	0.0827169245	11294800	448.16	49.087	0.06573641	448.16	2000	0	0	0	0	0	0	0	0.031381893	0.160218913	0	0.072915011	0.517254845	NA	NA	NA
ijiraq	moon	2	24	saturn	50 50 50	50 50 50	12	sphere	583045871559633000	0.1102892327	11355316	451.77	50.212	0.0975849	451.77	2000	0	0	0	0	0	0	0	0.027281171	0.506998359	0	0.736461162	0.384518132	NA	NA	NA
phoebe	moon	2	25	saturn	50 50 50	50 50 50	220	iregular	10689174311926600000	0.0060157763	12869700	-545.09	173.047	0.033301154	-545.09	1899	0	0	0	0	0	0	0	0.043001752	0.435838785	0	0.781519811	0.450311865	NA	NA	NA
paaliaq	moon	2	26	saturn	50 50 50	50 50 50	22	sphere	1068917431192660000	0.0601577633	15103400	692.98	46.151	0.038021745	692.98	2000	0	0	0	0	0	0	0	0.026461058	0.047822063	0	0.766938902	0.31470678	NA	NA	NA
skathi	moon	2	27	saturn	50 50 50	50 50 50	8	sphere	388697247706422000	0.1654338490	15672500	-732.52	149.084	0.049435318	-732.52	2000	0	0	0	0	0	0	0	0.04570523	0.765260545	0	0.967742022	0.122568658	NA	NA	NA
albiorix	moon	2	28	saturn	50 50 50	50 50 50	32	sphere	1554788990825690000	0.0413584623	16266700	774.58	38.042	0.058145587	774.58	2000	0	0	0	0	0	0	0	0.046751471	0.02830264	0	0.153323406	0.631764124	NA	NA	NA
s2007s2	moon	2	29	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	16560000	-792.96	176.680	0.041011527	-792.96	2007	0	0	0	0	0	0	0	0.051225616	0.35795844	0	0.079402326	0.822337862	NA	NA	NA
bebhionn	moon	2	30	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	17153520	838.77	40.484	0.069534468	838.77	2004	0	0	0	0	0	0	0	0.03381262	0.47107174	0	0.750351566	0.23643963	NA	NA	NA
erriapus	moon	2	31	saturn	50 50 50	50 50 50	10	sphere	485871559633028000	0.1323470792	17236900	844.89	38.109	0.018475744	844.89	2000	0	0	0	0	0	0	0	0.038073491	0.966276602	0	0.832520492	0.188446394	NA	NA	NA
skoll	moon	2	32	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	17473800	-862.37	155.624	0.016423689	-862.37	2006	0	0	0	0	0	0	0	0.051761499	0.340606563	0	0.838263507	0.827364207	NA	NA	NA
siarnaq	moon	2	33	saturn	50 50 50	50 50 50	40	sphere	1943486238532110000	0.0330867698	17776600	884.88	45.798	0.08935216	884.88	2000	0	0	0	0	0	0	0	0.050696827	0.083341777	0	0.490397746	0.635270969	NA	NA	NA
tarqeq	moon	2	34	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	17910600	894.86	49.904	0.034985191	894.86	2007	0	0	0	0	0	0	0	0.046357451	0.380735566	0	0.907958714	0.53964065	NA	NA	NA
