dataname	type	hierarchy_level	satellite_order	satellite_of	smallplanet_color	orbit_color	diameter_km	shape	mass_kg	gravity_at_surface	semi_major_axis	orbital_period_days	inclination_degrees	eccentricity	rotaton_period_days	discovered_year	athmospheric_surface_pressure_pa	athmospheric_nitrogen	athmospheric_oxygen	athmospheric_carbondioxide	athmospheric_helium	athmospheric_hydrogen	ground_coal	ground_ice	ground_iron	ground_fossil fuel	ground_silicium	ground_nuclear fuel	picture_ready	notes	copyright
metis	moon	2	1	jupiter	50 50 50	50 50 50	40	iregular	36000000000000000	0.0006128799	127690	0.291666667	0.060	0.000	0.292	1980	0	0	0	0	0	0	0	0.002757583	0.205152784	0	0.044890982	0.674990592	NA	NA	NA
adrastea	moon	2	2	jupiter	50 50 50	50 50 50	16	iregular	2000000000000000	0.0002128055	128690	0.291666667	0.030	0.002	0.292	1979	0	0	0	0	0	0	0	0.003758329	0.811270213	0	0.331611134	0.456546889	NA	NA	NA
amalthea	moon	2	3	jupiter	139 76 57	50 50 50	145	iregular	2080000000000000000	0.0026947608	181366	0.5	0.374	0.003	0.500	1892	0	0	0	0	0	0	0	0.005792595	0.024886545	0	0.41870899	0.923813444	NA	Looks very nice	NA
thebe	moon	2	4	jupiter	50 50 50	50 50 50	100	iregular	430000000000000000	0.0011712816	221889	0.679166667	1.076	0.018	0.679	1980	0	0	0	0	0	0	0	0.008258823	0.076865057	0	0.53614171	0.020932008	NA	NA	NA
io	moon	2	5	jupiter	255 218 185	50 50 50	3660	iregular	89000000000000000000000	0.1809758890	421700	1.769137786	0.050	0.004	1.769	1610	0.0001	0	0	0	0	0.0001	0	0.007110224	0.233306039	0	0.124593544	0.364460402	NA	Looks very nice	NA
europa	moon	2	6	jupiter	224 238 224	50 50 50	3122	sphere	48000000000000000000000	0.1341774754	671034	3.551181041	0.471	0.009	3.551	1610	0	0	0	0	0	0	0	0.009914686	0.147322876	0	0.863597453	0.44046223	NA	Looks very nice	NA
ganymede	moon	2	7	jupiter	50 50 50	50 50 50	5262	sphere	150000000000000000000000	0.1475422593	1070412	7.15455296	0.204	0.001	7.155	1610	0	0	0	0	0	0	0	0.015620707	0.633082972	0	0.274816239	0.96804675	NA	NA	NA
callisto	moon	2	8	jupiter	50 50 50	50 50 50	4821	sphere	110000000000000000000000	0.1289387261	1882709	16.6890184	0.205	0.007	16.689	1610	0	0	0	0	0	0	0	0.031885016	0.52041848	0	0.459035795	0.49527129	NA	Looks very nice	NA
themisto	moon	2	9	jupiter	50 50 50	50 50 50	8	sphere	690000000000000	0.0002936716	7393216	129.87	45.762	0.212	129.870	1975	0	0	0	0	0	0	0	0.025103	0.22938842	0	0.769345428	0.911454721	NA	NA	NA
leda	moon	2	10	jupiter	50 50 50	50 50 50	10	sphere	11000000000000000	0.0029963019	11187781	241.75	27.562	0.167	241.750	1974	0	0	0	0	0	0	0	0.040799327	0.191490926	0	0.421835847	0.556433686	NA	NA	NA
himalia	moon	2	11	jupiter	50 50 50	50 50 50	170	sphere	6700000000000000000	0.0063149489	11451971	250.37	30.486	0.151	250.370	1904	0	0	0	0	0	0	0	0.044480414	0.871593667	0	0.783471378	0.455099315	NA	NA	NA
lysithea	moon	2	12	jupiter	50 50 50	50 50 50	36	sphere	63000000000000000	0.0013241233	11740560	259.89	27.006	0.132	259.890	1938	0	0	0	0	0	0	0	0.027655784	0.446900541	0	0.548229343	0.687313705	NA	NA	NA
elara	moon	2	13	jupiter	50 50 50	50 50 50	86	sphere	870000000000000000	0.0032041677	11778034	261.14	29.691	0.195	261.140	1905	0	0	0	0	0	0	0	0.033404103	0.306174116	0	0.030972811	0.232308001	NA	NA	NA
s2000j11	moon	2	14	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	12570424	287.93	27.584	0.206	287.930	2001	0	0	0	0	0	0	0	0.042447138	0.854155684	0	0.39406867	0.98769298	NA	NA	NA
carpo	moon	2	15	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	17144873	458.62	56.001	0.274	458.620	2003	0	0	0	0	0	0	0	0.044625736	0.28149863	0	0.247766764	0.838661222	NA	NA	NA
s2003j12	moon	2	16	jupiter	50 50 50	50 50 50	1	sphere	1500000000000	0.0000408587	17739539	-482.69	142.680	0.445	-482.690	2003	0	0	0	0	0	0	0	0.042902183	0.097769386	0	0.992975949	0.791281144	NA	NA	NA
euporie	moon	2	17	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	19088434	-538.78	144.694	0.096	-538.780	2002	0	0	0	0	0	0	0	0.03680207	0.253926819	0	0.055567752	0.317561329	NA	NA	NA
s2003j3	moon	2	18	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	19621780	-561.52	146.363	0.251	-561.520	2003	0	0	0	0	0	0	0	0.037682899	0.805404505	0	0.629855354	0.269465972	NA	NA	NA
s2003j18	moon	2	19	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	19812577	-569.73	147.401	0.157	-569.730	2003	0	0	0	0	0	0	0	0.049500882	0.712299086	0	0.12875971	0.331904999	NA	NA	NA
thelxinoe	moon	2	20	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	20453753	-597.61	151.292	0.268	-597.610	2004	0	0	0	0	0	0	0	0.034089751	0.440075577	0	0.387769624	0.563941339	NA	NA	NA
euanthe	moon	2	21	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	20464854	-598.09	143.409	0.200	-598.090	2002	0	0	0	0	0	0	0	0.051239321	0.209577851	0	0.131327842	0.3608137	NA	NA	NA
helike	moon	2	22	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	20540266	-601.4	154.586	0.137	-601.400	2003	0	0	0	0	0	0	0	0.038615023	0.196614157	0	0.603883673	0.186666967	NA	NA	NA
orthosie	moon	2	23	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	20567971	-602.62	142.366	0.243	-602.620	2002	0	0	0	0	0	0	0	0.041277558	0.221053148	0	0.433810381	0.46413085	NA	NA	NA
iocaste	moon	2	24	jupiter	50 50 50	50 50 50	5	sphere	190000000000000	0.0002070172	20722566	-609.43	147.248	0.287	-609.430	2001	0	0	0	0	0	0	0	0.048691811	0.232231837	0	0.259887588	0.856272858	NA	NA	NA
s2003j16	moon	2	25	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	20743779	-610.36	150.769	0.318	-610.360	2003	0	0	0	0	0	0	0	0.039363825	0.700013875	0	0.855576447	0.551058504	NA	NA	NA
praxidike	moon	2	26	jupiter	50 50 50	50 50 50	7	sphere	430000000000000	0.0002390371	20823948	-613.9	144.205	0.184	-613.900	2001	0	0	0	0	0	0	0	0.047477098	0.142073313	0	0.556477853	0.695792666	NA	NA	NA
harpalyke	moon	2	27	jupiter	50 50 50	50 50 50	4	sphere	120000000000000	0.0002042933	21063814	-624.54	147.223	0.244	-624.540	2001	0	0	0	0	0	0	0	0.055574915	0.276400473	0	0.058165408	0.744366573	NA	NA	NA
mneme	moon	2	28	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	21129786	-627.48	149.732	0.317	-627.480	2003	0	0	0	0	0	0	0	0.03029066	0.393026218	0	0.150084683	0.543726591	NA	NA	NA
hermippe	moon	2	29	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	21182086	-629.81	151.242	0.229	-629.810	2002	0	0	0	0	0	0	0	0.044202022	0.652431827	0	0.126687893	0.061388343	NA	NA	NA
thyone	moon	2	30	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	21405570	-639.8	147.276	0.253	-639.800	2002	0	0	0	0	0	0	0	0.057379037	0.385663161	0	0.073959434	0.321423977	NA	NA	NA
ananke	moon	2	31	jupiter	50 50 50	50 50 50	28	sphere	30000000000000000	0.0010423128	21454952	-642.02	151.564	0.345	-642.020	1951	0	0	0	0	0	0	0	0.051247723	0.81235793	0	0.15611848	0.933921422	NA	NA	NA
s2003j17	moon	2	32	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22134306	-672.75	162.490	0.238	-672.750	2003	0	0	0	0	0	0	0	0.043971391	0.677437351	0	0.987181862	0.964933989	NA	NA	NA
aitne	moon	2	33	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	22285161	-679.64	165.562	0.393	-679.640	2002	0	0	0	0	0	0	0	0.03807019	0.404820382	0	0.245927739	0.277269876	NA	NA	NA
kale	moon	2	34	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22409207	-685.32	165.378	0.201	-685.320	2002	0	0	0	0	0	0	0	0.042914234	0.489630493	0	0.180709439	0.270292399	NA	NA	NA
taygete	moon	2	35	jupiter	50 50 50	50 50 50	5	sphere	160000000000000	0.0001743303	22438648	-686.67	164.890	0.368	-686.670	2001	0	0	0	0	0	0	0	0.045977815	0.565812605	0	0.593881991	0.4180541	NA	NA	NA
s2003j19	moon	2	36	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22709061	-699.12	164.727	0.196	-699.120	2003	0	0	0	0	0	0	0	0.053259841	0.036979166	0	0.588827385	0.608467367	NA	NA	NA
chaldene	moon	2	37	jupiter	50 50 50	50 50 50	4	sphere	75000000000000	0.0001276833	22713444	-699.33	167.070	0.292	-699.330	2001	0	0	0	0	0	0	0	0.059514975	0.284544325	0	0.056845338	0.698120353	NA	NA	NA
s2003j15	moon	2	38	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22720999	-699.68	141.812	0.093	-699.680	2003	0	0	0	0	0	0	0	0.038147585	0.783165242	0	0.694664037	0.91036563	NA	NA	NA
s2003j10	moon	2	39	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22730813	-700.13	163.813	0.344	-700.130	2003	0	0	0	0	0	0	0	0.058188	0.035684934	0	0.76463158	0.729693884	NA	NA	NA
s2003j23	moon	2	40	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	22739654	-700.54	148.849	0.393	-700.540	2004	0	0	0	0	0	0	0	0.035861172	0.367775636	0	0.047175672	0.032462957	NA	NA	NA
erinome	moon	2	41	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	22986266	-711.96	163.737	0.255	-711.960	2001	0	0	0	0	0	0	0	0.042933847	0.667774619	0	0.924346074	0.198068672	NA	NA	NA
aoede	moon	2	42	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	23044175	-714.66	160.482	0.601	-714.660	2003	0	0	0	0	0	0	0	0.05673146	0.315709678	0	0.449206608	0.288914737	NA	NA	NA
kallichore	moon	2	43	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23111823	-717.81	164.605	0.204	-717.810	2003	0	0	0	0	0	0	0	0.060710655	0.896652022	0	0.07486374	0.382458899	NA	NA	NA
kalyke	moon	2	44	jupiter	50 50 50	50 50 50	5	sphere	190000000000000	0.0002070172	23180773	-721.02	165.505	0.214	-721.020	2001	0	0	0	0	0	0	0	0.037675148	0.004980474	0	0.752031885	0.075201434	NA	NA	NA
carme	moon	2	45	jupiter	50 50 50	50 50 50	46	sphere	130000000000000000	0.0016734802	23197992	-721.82	165.047	0.234	-721.820	1938	0	0	0	0	0	0	0	0.061531516	0.800078198	0	0.622798019	0.059652423	NA	NA	NA
callirrhoe	moon	2	46	jupiter	50 50 50	50 50 50	9	sphere	870000000000000	0.0002925682	23214986	-722.62	139.849	0.258	-722.620	2000	0	0	0	0	0	0	0	0.055286291	0.611599953	0	0.426915638	0.262149945	NA	NA	NA
eurydome	moon	2	47	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	23230858	-723.36	149.324	0.377	-723.360	2002	0	0	0	0	0	0	0	0.053088481	0.607394174	0	0.408850456	0.853449617	NA	NA	NA
pasithee	moon	2	48	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23307318	-726.93	165.759	0.329	-726.930	2002	0	0	0	0	0	0	0	0.045035785	0.392032707	0	0.025637361	0.348695797	NA	NA	NA
cyllene	moon	2	49	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23396269	-731.1	140.148	0.412	-731.100	2003	0	0	0	0	0	0	0	0.049397913	0.058688227	0	0.931103716	0.759732705	NA	NA	NA
eukelade	moon	2	50	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	23483694	-735.2	163.996	0.283	-735.200	2003	0	0	0	0	0	0	0	0.051998598	0.154791471	0	0.550974196	0.735912042	NA	NA	NA
s2003j4	moon	2	51	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23570790	-739.29	147.175	0.300	-739.290	2003	0	0	0	0	0	0	0	0.03240345	0.094665121	0	0.292988646	0.999005206	NA	NA	NA
pasiphae	moon	2	52	jupiter	50 50 50	50 50 50	60	sphere	300000000000000000	0.0022699257	23609042	-741.09	141.803	0.374	-741.090	1908	0	0	0	0	0	0	0	0.058256218	0.605942541	0	0.043026627	0.672126679	NA	NA	NA
hegemone	moon	2	53	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	23702511	-745.5	152.506	0.408	-745.500	2003	0	0	0	0	0	0	0	0.048442197	0.418745871	0	0.250784519	0.637695537	NA	NA	NA
arche	moon	2	54	jupiter	50 50 50	50 50 50	3	sphere	45000000000000	0.0001361955	23717051	-746.19	164.587	0.149	-746.190	2002	0	0	0	0	0	0	0	0.041585563	0.572999333	0	0.125708238	0.119173686	NA	NA	NA
isonoe	moon	2	55	jupiter	50 50 50	50 50 50	4	sphere	75000000000000	0.0001276833	23800647	-750.13	165.127	0.178	-750.130	2001	0	0	0	0	0	0	0	0.061738358	0.065781943	0	0.769917193	0.831782973	NA	NA	NA
s2003j9	moon	2	56	jupiter	50 50 50	50 50 50	1	sphere	1500000000000	0.0000408587	23857808	-752.84	164.980	0.276	-752.840	2003	0	0	0	0	0	0	0	0.05828144	0.439812403	0	0.845426903	0.13615365	NA	NA	NA
s2003j5	moon	2	57	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	23973926	-758.34	165.549	0.307	-758.340	2003	0	0	0	0	0	0	0	0.047310907	0.758921161	0	0.042919967	0.901306075	NA	NA	NA
sinope	moon	2	58	jupiter	50 50 50	50 50 50	38	sphere	75000000000000000	0.0014147736	24057865	-762.33	153.778	0.275	-762.330	1914	0	0	0	0	0	0	0	0.035297497	0.313579136	0	0.001751567	0.155980023	NA	NA	NA
sponde	moon	2	59	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	24252627	-771.6	154.372	0.443	-771.600	2002	0	0	0	0	0	0	0	0.035625077	0.908633833	0	0.276511762	0.27775309	NA	NA	NA
autonoe	moon	2	60	jupiter	50 50 50	50 50 50	4	sphere	90000000000000	0.0001532200	24264445	-772.17	151.058	0.369	-772.170	2002	0	0	0	0	0	0	0	0.057628424	0.117746292	0	0.931591218	0.709561327	NA	NA	NA
kore	moon	2	61	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	23345093	-776.02	137.371	0.195	-776.020	2003	0	0	0	0	0	0	0	0.05479167	0.665250345	0	0.595130088	0.122136176	NA	NA	NA
megaclite	moon	2	62	jupiter	50 50 50	50 50 50	5	sphere	210000000000000	0.0002288085	24687239	-792.44	150.398	0.308	-792.440	2001	0	0	0	0	0	0	0	0.060722874	0.633373887	0	0.449774708	0.036702708	NA	NA	NA
s2003j2	moon	2	63	jupiter	50 50 50	50 50 50	2	sphere	15000000000000	0.0001021467	30290846	-1077.02	153.521	0.188	-1077.020	2003	0	0	0	0	0	0	0	0.470332245	0.689070081	0	0.209872274	0.719730284	NA	NA	NA
saturn	gasplanet	1	6	sun	255 228 196	100 100 100	120531	sphere	568686720000000000000000000	1.0662652372	1427163847	10752.9	5.510	0.054	0.430	NA	1013000	0	0	0	30390	972480	0	0.002381837	0.009159505	0	0.696863839	0.747118133	ok	Would benefit a lot from shading	NA
pan	moon	2	1	saturn	50 50 50	50 50 50	30	iregular	1457614678899080000	0.0441156931	133584	0.57505	0.001	0.056	0.575	1990	0	0	0	0	0	0	0	0.00281975	0.05307273	0	0.167552316	0.642931127	NA	NA	NA
daphnis	moon	2	2	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	136505	0.59408	0.000	0.095	0.594	2005	0	0	0	0	0	0	0	0.002536829	0.676102465	0	0.781047035	0.632017038	NA	NA	NA
atlas	moon	2	3	saturn	50 50 50	50 50 50	31	iregular	1506201834862390000	0.0426926062	137670	0.60169	0.003	0.049	0.602	1980	0	0	0	0	0	0	0	0.004761096	0.3093686	0	0.362507642	0.008680139	NA	NA	NA
prometheus	moon	2	4	saturn	50 50 50	50 50 50	86	iregular	4178495412844040000	0.0153891953	139380	0.61299	0.008	0.013	0.613	1980	0	0	0	0	0	0	0	0.00398412	0.411026996	0	0.586325129	0.385539178	NA	NA	NA
pandora	moon	2	5	saturn	50 50 50	50 50 50	81	iregular	3935559633027520000	0.0163391456	141720	0.6285	0.050	0.096	0.629	1980	0	0	0	0	0	0	0	0.003935478	0.954214543	0	0.920716458	0.964531237	NA	NA	NA
epimetheus	moon	2	6	saturn	50 50 50	50 50 50	113	iregular	5490348623853210000	0.0117121309	151422	0.69433	0.335	0.100	0.694	1980	0	0	0	0	0	0	0	0.004600505	0.225112228	0	0.777052878	0.881697625	NA	NA	NA
janus	moon	2	7	saturn	50 50 50	50 50 50	179	iregular	8697100917431190000	0.0073936916	151472	0.69466	0.165	0.027	0.695	1966	0	0	0	0	0	0	0	0.003426159	0.106428313	0	0.883219201	0.427132821	NA	NA	NA
mimas	moon	2	8	saturn	50 50 50	50 50 50	397	iregular	19289100917431200000	0.0033336796	185404	0.942422	1.566	0.091	0.942	1789	0	0	0	0	0	0	0	0.003506588	0.63074411	0	0.117992168	0.59812911	NA	Looks ok, a little funny in the craters	NA
methone	moon	2	9	saturn	50 50 50	50 50 50	3	sphere	145761467889908000	0.4411569308	194440	1.00957	0.007	0.026	1.010	2004	0	0	0	0	0	0	0	0.004417697	0.737528794	0	0.949733001	0.897120931	NA	NA	NA
anthe	moon	2	10	saturn	50 50 50	50 50 50	2	sphere	97174311926605500	0.6617353962	197700	1.0365	0.100	0.017	1.037	2007	0	0	0	0	0	0	0	0.005795158	0.064727785	0	0.805500199	0.245708377	NA	NA	NA
pallene	moon	2	11	saturn	50 50 50	50 50 50	4	sphere	194348623853211000	0.3308676981	212280	1.15375	0.181	0.035	1.154	2004	0	0	0	0	0	0	0	0.005115224	0.033407711	0	0.94285429	0.15858577	NA	NA	NA
enceladus	moon	2	12	saturn	50 50 50	50 50 50	504	iregular	24487926605504600000	0.0026259341	237950	1.370218	0.010	0.080	1.370	1789	0	0	0	0	0	0	0	0.005206384	0.834673491	0	0.166727762	0.846562588	NA	NA	NA
tethys	moon	2	13	saturn	196 196 196	50 50 50	1066	iregular	51793908256880700000	0.0012415298	294619	1.887802	0.168	0.077	1.888	1684	0	0	0	0	0	0	0	0.006265433	0.6770517	0	0.856508492	0.495714362	NA	Looks ok, would benefit a lot from shading	NA
telesto	moon	2	14	saturn	50 50 50	50 50 50	24	iregular	1166091743119270000	0.0551446163	294619	1.987802	1.158	0.041317697	1.987802	1980	0	0	0	0	0	0	0	0.006904572	0.920126449	0	0.789580398	0.585085344	NA	NA	NA
calypso	moon	2	15	saturn	50 50 50	50 50 50	21	iregular	1020330275229360000	0.0630224187	294619	1.987802	1.473	0.07141901	1.987802	1980	0	0	0	0	0	0	0	0.006825141	0.732273396	0	0.579198069	0.635717667	NA	NA	NA
dione	moon	2	16	saturn	143 143 143	50 50 50	1124	iregular	54611963302752300000	0.0011774651	377396	2.736915	0.002	0.073877179	2.736915	1684	0	0	0	0	0	0	0	0.004084005	0.5577346	0	0.499830251	0.294720593	NA	Look ok. Consider deleting orbit sisters, it is difficult to find this	NA
helene	moon	2	17	saturn	50 50 50	50 50 50	33	iregular	1603376146788990000	0.0401051755	377396	2.746915	0.212	0.086171269	2.736915	1980	0	0	0	0	0	0	0	0.005739749	0.362325335	0	0.697408644	0.766905904	NA	NA	NA
polydeuces	moon	2	18	saturn	50 50 50	50 50 50	35	iregular	1700550458715600000	0.0378134512	377396	2.756915	0.177	0.006910443	2.736915	2004	0	0	0	0	0	0	0	0.006085991	0.203839804	0	0.023376746	0.389085767	NA	NA	NA
rhea	moon	2	19	saturn	219 219 219	50 50 50	1529	iregular	74289761467889900000	0.0008655793	527108	4.518212	0.327	0.075716703	4.518212	1672	0	0	0	0	0	0	0	0.007867505	0.059246127	0	0.376795877	0.786298847	NA	Looks very nice	NA
titan	moon	2	20	saturn	209 209 209	50 50 50	5151	sphere	250272440366973000000	0.0002569347	1221930	15.94542	1.634	0.035128547	15.94542	1655	0	0	0	0	0	0	0	0.008560742	0.375329675	0	0.286826145	0.849185368	NA	Looks very nice	NA
hyperion	moon	2	21	saturn	50 50 50	50 50 50	292	iregular	14187449541284400000	0.0045324342	1481010	21.27661	0.568	0.040199465	21.27661	1848	0	0	0	0	0	0	0	0.01405363	0.838357925	0	0.886596257	0.749433566	NA	NA	NA
iapetus	moon	2	22	saturn	135 135 135	50 50 50	1472	iregular	71520293577981700000	0.0008990970	3560820	79.3215	7.570	0.041343457	79.3215	1671	0	0	0	0	0	0	0	0.037006375	0.724286006	0	0.959483713	0.899107552	NA	Looks very nice	NA
kiviuq	moon	2	23	saturn	50 50 50	50 50 50	16	sphere	777394495412844000	0.0827169245	11294800	448.16	49.087	0.053070257	448.16	2000	0	0	0	0	0	0	0	0.023793195	0.912410975	0	0.671902777	0.712027253	NA	NA	NA
ijiraq	moon	2	24	saturn	50 50 50	50 50 50	12	sphere	583045871559633000	0.1102892327	11355316	451.77	50.212	0.016410827	451.77	2000	0	0	0	0	0	0	0	0.040574688	0.040262053	0	0.868460754	0.916456199	NA	NA	NA
phoebe	moon	2	25	saturn	50 50 50	50 50 50	220	iregular	10689174311926600000	0.0060157763	12869700	-545.09	173.047	0.010084873	-545.09	1899	0	0	0	0	0	0	0	0.037095426	0.950896799	0	0.622103914	0.480836037	NA	NA	NA
paaliaq	moon	2	26	saturn	50 50 50	50 50 50	22	sphere	1068917431192660000	0.0601577633	15103400	692.98	46.151	0.044003561	692.98	2000	0	0	0	0	0	0	0	0.044335858	0.679232354	0	0.11339701	0.479761366	NA	NA	NA
skathi	moon	2	27	saturn	50 50 50	50 50 50	8	sphere	388697247706422000	0.1654338490	15672500	-732.52	149.084	0.083451069	-732.52	2000	0	0	0	0	0	0	0	0.046487064	0.49042248	0	0.192734775	0.832212104	NA	NA	NA
albiorix	moon	2	28	saturn	50 50 50	50 50 50	32	sphere	1554788990825690000	0.0413584623	16266700	774.58	38.042	0.044658884	774.58	2000	0	0	0	0	0	0	0	0.049912488	0.423824286	0	0.535970733	0.203917531	NA	NA	NA
s2007s2	moon	2	29	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	16560000	-792.96	176.680	0.078575158	-792.96	2007	0	0	0	0	0	0	0	0.03960933	0.160670227	0	0.713929813	0.507794564	NA	NA	NA
bebhionn	moon	2	30	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	17153520	838.77	40.484	0.056871379	838.77	2004	0	0	0	0	0	0	0	0.038325492	0.000820208	0	0.676981281	0.666558191	NA	NA	NA
erriapus	moon	2	31	saturn	50 50 50	50 50 50	10	sphere	485871559633028000	0.1323470792	17236900	844.89	38.109	0.014152478	844.89	2000	0	0	0	0	0	0	0	0.036527305	0.189382523	0	0.220653765	0.503890246	NA	NA	NA
skoll	moon	2	32	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	17473800	-862.37	155.624	0.043694219	-862.37	2006	0	0	0	0	0	0	0	0.040221687	0.335319627	0	0.921835575	0.969981189	NA	NA	NA
siarnaq	moon	2	33	saturn	50 50 50	50 50 50	40	sphere	1943486238532110000	0.0330867698	17776600	884.88	45.798	0.017519165	884.88	2000	0	0	0	0	0	0	0	0.037242949	0.865368553	0	0.250261192	0.257154622	NA	NA	NA
tarqeq	moon	2	34	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	17910600	894.86	49.904	0.036431457	894.86	2007	0	0	0	0	0	0	0	0.054979671	0.142161014	0	0.328364672	0.763121114	NA	NA	NA
s2004s13	moon	2	35	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	18056300	-905.85	167.379	0.072299527	-905.85	2004	0	0	0	0	0	0	0	0.028046324	0.872245132	0	0.392254855	0.621173772	NA	NA	NA
